Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
GOLDMAN SACHS INTERNATIONAL,GB,Investment Banking & Brokerage,Investment Banking & Brokerage,A,7.13,10,6.2,3.1
GOLDMAN SACHS INTERNATIONAL BANK,GB,Investment Banking & Brokerage,Investment Banking & Brokerage,A,7.13,10,6.2,3.1
GOLDWIN INC,JP,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",B,2.8,2.8,2.7,4.3
"GOME Appliance CO, LTD",CN,Retail - Consumer Discretionary,Computer & Electronics Retail,BB,3.4,2.1,3.5,4.4
GOME Retail Holdings Limited,CN,Retail - Consumer Discretionary,Computer & Electronics Retail,BB,3.4,2.1,3.5,4.4
GOODMAN AUSTRALIA FINANCE PTY LIMITED,AU,Real Estate Management & Services,Industrial REITs,AA,7.6,6.1,6,6.9
"GOODMAN CO, LTD",JP,Health Care Equipment & Supplies,Health Care Supplies,BB,2.9,7.5,5.1,3.5
GOODMAN GROUP,AU,Real Estate Management & Services,Industrial REITs,AA,7.6,6.1,6,6.9
"GOODMAN US FINANCE FOUR, LLC",AU,Real Estate Management & Services,Industrial REITs,AA,7.6,6.1,6,6.9
"GOODMAN US FINANCE THREE, LLC",AU,Real Estate Management & Services,Industrial REITs,AA,7.6,6.1,6,6.9
GOODRICH CORPORATION,US,Aerospace & Defense,Aerospace & Defense,BBB,5.5,4.9,3.9,5.1
"GOOSEHEAD INSURANCE HOLDINGS, LLC",US,Multi-Line Insurance & Brokerage,Insurance Brokers,BB,3,0,4,4.4
"GOOSEHEAD INSURANCE, INC",US,Multi-Line Insurance & Brokerage,Insurance Brokers,BB,3,0,4,4.4
"GOPRO, INC",US,Household Durables,Consumer Electronics,BBB,4.5,0,5.4,4.7
GORAKHPUR INFRASTRUCTURE COMPANY PRIVATE LIMITED,IN,Utilities,Multi-Utilities,BBB,4.4,6,3.9,5.4
