Company Name,Country,Sector,Subsector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
0921706 BC LTD,CA,Telecommunication Services,Wireless Telecommunication Services,A,6.6,10,7.4,2.7
1 MADISON OFFICE FEE LLC,US,Real Estate Management & Services,Office REITs,BBB,4.7,8.5,5.8,2.6
1&1 AG,DE,Telecommunication Services,Wireless Telecommunication Services,B,2,7.8,3.3,4.4
"1-800-FLOWERSCOM, INC",US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,BBB,5.6,1.2,6.7,3.8
"1000 AUAHI, LLC",US,Real Estate Development & Diversified Activities,Real Estate Development,A,6.8,6.1,4.1,6.9
1011778 BC UNLIMITED LIABILITY COMPANY,CA,Restaurants,Restaurants,BB,3.9,5.3,3.6,4.4
10X Genomics Inc,US,Health Care Equipment & Supplies,Life Sciences Tools & Services,BB,3.4,6.1,3.9,5.1
"1334 YORK, LLC",US,Diversified Consumer Services,,BBB,5.5,6.7,5.4,3.6
"180 MEDICAL, INC",US,Health Care Equipment & Supplies,Health Care Supplies,AA,8.4,10,5.2,7.1
"1LIFE HEALTHCARE, INC",US,Health Care Providers & Services,Health Care Services,A,6.3,6.3,6,4.2
1ST CENTENNIAL BANK,US,Banks,Regional Banks,BB,2.9,0.8,3.4,4.7
1ST SOURCE BANK,US,Banks,Regional Banks,B,2.2,0,2.6,4.7
1ST SOURCE CORPORATION,US,Banks,Regional Banks,B,2.2,0,2.6,4.7
23andMe Holding Co,US,Health Care Providers & Services,Health Care Services,BBB,5.3,5.9,5.4,4.2
2435572 Ontario Inc,CA,Metals and Mining - Precious Metals,Precious Metals & Minerals,BB,3.8,3.5,3.3,4
"295 E OCOTILLO ROAD, LLC",US,Real Estate Management & Services,Specialized REITs,BB,3.9,4.6,2.7,6.4
2Seventy Bio Inc,US,Biotechnology,Biotechnology,B,2.8,2.2,3.4,6
"2U, INC",US,Software & Services,Education Services,A,6.9,4.7,4.7,6.3
300 SOUTH TRYON LLC,US,Life & Health Insurance,,BB,4.2,4.2,2.7,7.1
360 DigiTech Inc,CN,Consumer Finance,Consumer Finance,B,2.3,6.5,3.6,2.5
360 Security Technology Inc,CN,Software & Services,Systems Software,BBB,4.3,4.1,5.1,3
361 DEGREES INTERNATIONAL LIMITED,CN,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",B,2.8,2.7,2.6,4.5
3D SYSTEMS CORPORATION,US,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",BBB,4.5,4.4,4.4,4.9
3I GROUP PLC,GB,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,7.9,10,5.1,7.6
3M COMPANY,US,Industrial Conglomerates,Industrial Conglomerates,AAA,8.6,6,4.6,6.2
3M INDIA LIMITED,IN,Industrial Conglomerates,Industrial Conglomerates,AA,8.1,3.1,6.7,5.3
3Peak Inc,CN,Semiconductors & Semiconductor Equipment,Semiconductors,CCC,0,5,2.9,1.5
3R Petroleum Oleo e Gas SA,BR,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BBB,4.8,2.4,3.6,6.8
3SBIO INC,CN,Biotechnology,Biotechnology,A,6.2,6.3,4.3,6.5
407 INTERNATIONAL INC,CA,Transportation Infrastructure,,BBB,4.3,6,4.1,4.9
4D Molecular Therapeutics Inc,US,Biotechnology,Biotechnology,BB,4.1,7.1,4.5,4
4finance Holding SA,LU,Consumer Finance,,B,1.7,6.7,3.8,4.9
4finance SA,LU,Consumer Finance,,B,1.7,6.7,3.8,4.9
50Hertz Transmission GmbH,DE,Utilities,,AA,8.2,7.1,4.8,6.3
"51JOB, INC",CN,Professional Services,Human Resource & Employment Services,BB,3.8,6.5,5.8,3.9
55W46 CONDO OWNER LLC,US,Real Estate Management & Services,Office REITs,BBB,4.7,8.5,5.8,2.6
6PM HOLDINGS PLC,MT,Software & Services,IT Consulting & Other Services,BBB,5.7,4.5,3,7.5
"7-ELEVEN, INC",US,Retail - Food & Staples,Food Retail,BBB,5.4,3.4,4.1,5.4
731 Retail One LLC,US,Real Estate Management & Services,Retail REITs,CCC,0,6.6,0.8,2.1
7750 WISCONSIN AVENUE LLC,US,Real Estate Management & Services,Office REITs,A,7.1,8,4.2,5.9
888 Holdings Public Limited Company,GI,Casinos & Gaming,Casinos & Gaming,AA,8.4,7,6.5,5.2
"8X8, INC",US,Software & Services,Application Software,BBB,5.7,5.2,3.5,6.3
"8th Avenue Food & Provisions, Inc",US,Food Products,Packaged Foods & Meats,BB,4.1,2,5,4.8
908 Devices Inc,US,Health Care Equipment & Supplies,Electronic Equipment & Instruments,BB,4.2,6.1,4.2,5.5
A E C I LIMITED,ZA,Specialty Chemicals,Specialty Chemicals,AA,7.6,5.2,4.9,6.6
A O SMITH CORPORATION,US,Building Products,Building Products,A,6.8,7.1,5.5,3
"A-LIVING SMART CITY SERVICES CO, LTD",CN,Commercial Services & Supplies,Real Estate Operating Companies,BBB,4.7,8.2,6.3,4.2
"A-MARK PRECIOUS METALS, INC",US,Trading Companies & Distributors,Specialized Finance,BBB,5.7,2.5,4.9,5.6
"A10 NETWORKS, INC",US,Software & Services,Systems Software,BBB,4.5,3.9,4.6,6
A2 Milk Company Ltd,NZ,Food Products,Packaged Foods & Meats,BBB,4.6,1.9,5.4,5.5
A2A SPA,IT,Utilities,Multi-Utilities,BBB,5.6,6,4.8,4.9
A2DOMINION HOUSING GROUP LIMITED,GB,Real Estate Management & Services,,AA,7.4,4.1,7.2,6.7
AA BOND CO LIMITED,JE,Diversified Consumer Services,Specialized Consumer Services,A,5.9,10,6.5,2.3
AA LIMITED,GB,Diversified Consumer Services,Specialized Consumer Services,A,5.9,10,6.5,2.3
AAC TECHNOLOGIES HOLDINGS INC,CN,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,A,6.8,3.5,5.5,4.5
AACI REIT MTN PTE LTD,SG,Real Estate Management & Services,Industrial REITs,B,2.6,5.1,1.5,4.5
AADARSHINI REAL ESTATE DEVELOPERS PRIVATE LIMITED,IN,Real Estate Development & Diversified Activities,Diversified Real Estate Activities,BB,4.1,4.8,5.7,2.2
AADVANTAGE LOYALTY IP LTD,KY,Airlines,Airlines,B,2.8,3.1,3.1,4.5
AAI LIMITED,AU,Property & Casualty Insurance,Property & Casualty Insurance,A,6.7,2.7,4.4,7.1
AAK AB (publ),SE,Food Products,Packaged Foods & Meats,AA,8.4,4.7,6.6,5.5
AALOK SOLARFARMS LIMITED,IN,Utilities,Renewable Electricity,A,7,9.5,3.3,5.2
"AAON, INC",US,Building Products,Building Products,A,7.1,5,7,5.6
AAR CORP,US,Aerospace & Defense,Aerospace & Defense,BBB,5.6,2,5.5,3.7
AAREAL BANK CAPITAL FUNDING TRUST,US,Banks,Thrifts & Mortgage Finance,AA,8.3,1.9,3.5,7.1
AB CUSTOM ALTERNATIVE PROGRAM SICAV,LU,Asset Management & Custody Banks,Other Diversified Financial Services,BBB,5.3,5,4.7,5.6
AB Ignitis grupe,LT,Utilities,Electric Utilities,AA,7.5,7.8,7.8,4.1
AB Sagax,SE,Real Estate Management & Services,Real Estate Operating Companies,A,7.1,5.2,8.1,5.7
AB Science SA,FR,Pharmaceuticals,Pharmaceuticals,AA,7.4,5.1,6.3,4.3
AB Sveriges Sakerstallda Obligationer (publ),SE,Banks,,AAA,10,3.5,7.4,4.8
AB Traction,SE,Asset Management & Custody Banks,Asset Management & Custody Banks,B,1.8,8,4.1,1.6
ABB FINANCE (USA) INC,US,Electrical Equipment,Electrical Components & Equipment,AA,8.5,8,4.3,6
ABB Finance BV,NL,Electrical Equipment,Electrical Components & Equipment,AA,8.5,8,4.3,6
ABB Ltd,CH,Electrical Equipment,Electrical Components & Equipment,AA,8.5,8,4.3,6
ABBOTT LABORATORIES,US,Health Care Equipment & Supplies,Health Care Equipment,BB,4.2,10,5.2,5.4
ABBVIE INC,US,Biotechnology,Biotechnology,BBB,4.8,7.7,4.8,3.8
ABC Arbitrage SA,FR,Diversified Financials,Specialized Finance,BB,4.1,8,3.5,5.1
ABC Financial Asset Investment Company Limited,CN,Banks,Diversified Banks,BBB,5.7,5,4.9,4.1
"ABC Financial Leasing Co, Ltd",CN,Banks,Diversified Banks,BBB,5.7,5,4.9,4.1
"ABC International Investment (Suzhou) Co, Ltd",CN,Banks,Diversified Banks,BBB,5.7,5,4.9,4.1
"ABC Life Insurance Co, Ltd",CN,Banks,Diversified Banks,BBB,5.7,5,4.9,4.1
"ABC-MART,INC",JP,Retail - Consumer Discretionary,Apparel Retail,B,2.2,2.6,3.7,3.1
ABCAM PLC,GB,Health Care Equipment & Supplies,Biotechnology,A,6.3,7.8,5.6,5.9
ABERCROMBIE & FITCH CO,US,Retail - Consumer Discretionary,Apparel Retail,BB,3.9,4.6,2.7,5.2
ABERCROMBIE & FITCH MANAGEMENT CO,US,Retail - Consumer Discretionary,Apparel Retail,BB,3.9,4.6,2.7,5.2
ABERTIS HOLDCO SA,ES,Transportation Infrastructure,Highways & Railtracks,BBB,5.6,7.6,5.6,4.5
ABERTIS INFRAESTRUCTURAS SA,ES,Transportation Infrastructure,Highways & Railtracks,AA,8,7.6,8,5.2
ABHA SOLARFARMS LIMITED,IN,Utilities,Renewable Electricity,A,7,9.5,3.3,5.2
ABHIRAJ REAL ESTATE PRIVATE LIMITED,IN,Real Estate Development & Diversified Activities,Diversified Real Estate Activities,BB,4.1,4.8,5.7,2.2
"ABIOMED, INC",US,Health Care Equipment & Supplies,Health Care Equipment,AA,7.4,6.5,7.6,4.9
ABJA INVESTMENT CO PTE LTD,SG,Steel,Steel,B,1.8,2.3,2,4.3
ABL Bio Inc,KR,Biotechnology,Biotechnology,CCC,0.3,5.9,4.1,2.5
ABM INDUSTRIES INCORPORATED,US,Commercial Services & Supplies,Environmental & Facilities Services,A,7.1,8.3,5.9,6.1
ABN AMRO Bank NV,NL,Banks,Diversified Banks,A,7,9.2,3.5,4.7
ABN AMRO FUNDING USA LLC,US,Banks,Diversified Banks,A,7,9.2,3.5,4.7
ABOITIZ EQUITY VENTURES INC,PH,Industrial Conglomerates,Industrial Conglomerates,BBB,4.9,4.9,3.3,3.8
ABP FINANCE PLC,GB,Transportation Infrastructure,,A,5.9,5.8,6.9,5.5
ABPA HOLDINGS LIMITED,GB,Transportation Infrastructure,,A,5.9,5.8,6.9,5.5
ABQ FINANCE LIMITED,KY,Banks,Diversified Banks,BB,3.3,0.3,4.6,1.4
ABR Reinsurance Capital Holdings Ltd,BM,Property & Casualty Insurance,Property & Casualty Insurance,A,6.7,5.6,4.7,5.2
ABRDN PLC,GB,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.2,10,5.1,8.2
ABSA BANK LIMITED,ZA,Banks,Diversified Banks,AA,8.4,7.6,4.9,5.4
ABSA GROUP LIMITED,ZA,Banks,Diversified Banks,AA,8.4,7.6,4.9,5.4
ABSOLUTE SOFTWARE CORPORATION,CA,Software & Services,Systems Software,BBB,5.5,4.8,3.9,5.1
ABU DHABI NATIONAL ENERGY COMPANY - PJSC,AE,Utilities,Multi-Utilities,B,2.8,5.3,3.9,1.7
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION PJSC,AE,"Oil & Gas Refining, Marketing, Transportation & Storage",Automotive Retail,A,7,6.4,6.6,3.4
AC Bebidas S de RL de CV,MX,Beverages,Soft Drinks,A,6.7,6.1,5.4,4.6
AC ENERGY FINANCE INTERNATIONAL LIMITED,KY,Industrial Conglomerates,Industrial Conglomerates,BBB,4.4,3.3,5.2,0.9
AC Energy Corporation,PH,Utilities,Independent Power Producers & Energy Traders,BB,3.7,4,5.3,4.5
"ACADEMY SPORTS AND OUTDOORS, INC",US,Retail - Consumer Discretionary,Specialty Stores,A,6.1,1.6,4.5,6.5
"ACADEMY, LTD",US,Retail - Consumer Discretionary,Specialty Stores,A,6.1,1.6,4.5,6.5
"ACADIA HEALTHCARE COMPANY, INC",US,Health Care Providers & Services,Health Care Facilities,A,7,6.5,5.2,6.3
ACADIA PHARMACEUTICALS INC,US,Biotechnology,Biotechnology,BBB,4.5,3.1,4.4,5.2
ACADIA REALTY LIMITED PARTNERSHIP,US,Real Estate Management & Services,Retail REITs,BB,4.2,6.2,5,4.1
ACADIA REALTY TRUST,US,Real Estate Management & Services,Retail REITs,BB,4.2,6.2,5,4.1
ACC LIMITED,IN,Construction Materials,Construction Materials,B,1.6,2,2.6,2.6
"ACCEL ENTERTAINMENT, INC",US,Casinos & Gaming,Casinos & Gaming,A,7,4.8,6.5,4.9
"ACCELERATE DIAGNOSTICS, INC",US,Health Care Equipment & Supplies,Health Care Equipment,AA,7.9,6,6,6.7
ACCENT CAPITAL PLC,GB,Real Estate Management & Services,,BBB,5,2.6,7.6,6.8
ACCENT HOUSING LIMITED,GB,Real Estate Management & Services,,BBB,5,2.6,7.6,6.8
ACCENTURE CAPITAL INC,US,Software & Services,IT Consulting & Other Services,AA,7.6,7.5,4.1,5.3
ACCENTURE PUBLIC LIMITED COMPANY,IE,Software & Services,IT Consulting & Other Services,AA,7.6,7.5,4.1,5.3
ACCESS BANK PLC,NG,Banks,Diversified Banks,BBB,5,0.9,4.4,2.9
ACCIONA ENERGIA FINANCIACION FILIALES SA,ES,Utilities,Renewable Electricity,AA,8.4,9.1,6.4,5.6
ACCO BRANDS CORPORATION,US,Commercial Services & Supplies,Office Services & Supplies,A,6.1,8.8,2.8,5.3
ACCOR SA,FR,Hotels & Travel,"Hotels, Resorts & Cruise Lines",A,6.9,6.3,4.3,5.7
"ACCORDIA GOLF co,Ltd",JP,Telecommunication Services,Asset Management & Custody Banks,BBB,5.1,10,5.6,4
"ACCRUENT, LLC",US,Industrial Machinery,Industrial Machinery,A,6.3,4.8,6.1,5
ACE CAPITAL TRUST II,US,Property & Casualty Insurance,Property & Casualty Insurance,A,6.7,5.6,4.7,5.2
ACEA SPA,IT,Utilities,Multi-Utilities,A,6.3,7.3,5.4,3.9
ACEF Holding SCA,LU,Multi-Line Insurance & Brokerage,Multi-line Insurance,AAA,9.1,9.5,7.3,4.6
ACEF SA,BR,Diversified Consumer Services,Education Services,B,2.1,6,3.5,3.4
ACEN FINANCE LIMITED,KY,Utilities,Independent Power Producers & Energy Traders,BB,3.7,4,5.3,4.5
ACER INCORPORATED,TW,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",AAA,10,3.7,7.3,5.9
"ACI WORLDWIDE, INC",US,Software & Services,Application Software,AA,7.6,4.9,5.5,6.1
ACKERMANS & VAN HAAREN NV,BE,Diversified Financials,Construction & Engineering,BBB,5.5,10,4.6,3.9
ACM Research Inc,US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,B,1.8,3.5,4.6,3.6
ACROSS FinCo Sa rl,LU,Real Estate Management & Services,Real Estate Operating Companies,BBB,4.7,4.4,5.9,5.5
"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, SA",ES,Construction & Engineering,Construction & Engineering,A,5.8,5.8,7.1,5.1
"ACS, Servicios Comunicaciones y Energia, SL",ES,Construction & Engineering,Construction & Engineering,A,5.8,5.8,7.1,5.1
ACTIAN CORPORATION,US,Software & Services,IT Consulting & Other Services,A,6.9,6.8,3.8,6.8
ACTIONS PRIVILEGIEES ENERGIE RENOUVELABLE BROOKFIELD INC,CA,Utilities,Renewable Electricity,BBB,5.6,6.7,5.6,4.4
"ACTIVISION BLIZZARD, INC",US,Media & Entertainment,Interactive Home Entertainment,BBB,5,8.3,4.7,3.9
"ACUITY BRANDS LIGHTING, INC",US,Electrical Equipment,Electrical Components & Equipment,AA,8.1,6.9,5.4,5.3
"ACUITY BRANDS, INC",US,Electrical Equipment,Electrical Components & Equipment,AA,8.1,6.9,5.4,5.3
ACUSHNET COMPANY,US,Leisure Products,Leisure Products,BB,3.5,0.4,5.7,4.3
ACUSHNET HOLDINGS CORP,US,Leisure Products,Leisure Products,BB,3.5,0.4,5.7,4.3
ACV AUCTIONS INC,US,Commercial Services & Supplies,Diversified Support Services,BB,4.1,6.2,3.3,5.1
ADAIRS LIMITED,AU,Retail - Consumer Discretionary,Homefurnishing Retail,BB,3.7,3.2,2.2,6.1
ADANI ELECTRICITY MUMBAI LIMITED,IN,Utilities,Electric Utilities,BBB,4.6,7,4.2,2.8
ADANI ENTERPRISES LIMITED,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.1,3.3,0
ADANI GREEN ENERGY (MP) LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI GREEN ENERGY (UP) LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI GREEN ENERGY LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI GREEN ENERGY TWENTY THREE LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI GREEN TECHNOLOGY LIMITED,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.1,3.3,0
ADANI GUWAHATI INTERNATIONAL AIRPORT LIMITED,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.1,3.3,0
ADANI HYBRID ENERGY JAISALMER ONE LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI JAIPUR INTERNATIONAL AIRPORT LIMITED,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.1,3.3,0
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,IN,Transportation Infrastructure,Marine Ports & Services,CCC,0,4.8,2.8,1
ADANI POWER LIMITED,IN,Utilities,Independent Power Producers & Energy Traders,CCC,0,0.8,5.6,2
ADANI RENEWABLE ENERGY (KA) LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI RENEWABLE ENERGY (RJ) LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI SOLAR ENERGY CHITRAKOOT ONE LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI SOLAR ENERGY FOUR PRIVATE LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI SOLAR ENERGY JODHPUR TWO LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI THIRUVANANTHAPURAM INTERNATIONAL AIRPORT LIMITED,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.1,3.3,0
ADANI TOTAL GAS LIMITED,IN,Utilities,Gas Utilities,BBB,5.6,6.1,4.9,5.3
ADANI TRANSMISSION LIMITED,IN,Utilities,Electric Utilities,BBB,4.6,7,4.2,2.8
ADANI TRANSMISSION STEP-ONE LIMITED,IN,Utilities,Electric Utilities,BBB,4.6,7,4.2,2.8
ADANI VIZHINJAM PORT PRIVATE LIMITED,IN,Transportation Infrastructure,Marine Ports & Services,CCC,0,4.8,2.8,1
ADANI WELSPUN EXPLORATION LIMITED,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0,4.1,3.3,0
ADANI WIND ENERGY (GUJARAT) PRIVATE LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI WIND ENERGY KUTCHH FIVE LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADANI WIND ENERGY KUTCHH SIX LIMITED,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4
ADAPTHEALTH CORP,US,Health Care Providers & Services,Health Care Distributors,A,7,6.7,5.9,6
"ADAPTHEALTH, LLC",US,Health Care Providers & Services,Health Care Distributors,A,7,6.7,5.9,6
ADBRI LIMITED,AU,Construction Materials,Construction Materials,BBB,5.7,1.7,5.2,6
ADCB FINANCE (CAYMAN) LIMITED,KY,Banks,Diversified Banks,AA,8.4,4.8,6.5,2.8
ADCB STRUCTURING II (CAYMAN) LIMITED,AE,Banks,Diversified Banks,AA,8.4,4.8,6.5,2.8
"ADDUS HEALTHCARE, INC",US,Health Care Providers & Services,Health Care Services,AA,8.4,5.1,3.7,5.5
ADDUS HOMECARE CORPORATION,US,Health Care Providers & Services,Health Care Services,AA,8.4,5.1,3.7,5.5
"ADECCO FINANCIAL SERVICES (NORTH AMERICA), LLC",US,Professional Services,Human Resource & Employment Services,AA,7.9,10,5.8,6.3
ADECOAGRO SA,LU,Food Products,Packaged Foods & Meats,A,6.8,3.7,5.3,5.7
ADEKA CORPORATION,JP,Commodity Chemicals,Commodity Chemicals,BBB,4.6,5.1,1.8,2.7
ADEVINTA ASA,NO,Interactive Media & Services,Interactive Media & Services,A,5.9,8.4,3,5.9
ADIB CAPITAL INVEST 2 LTD,KY,Banks,Diversified Banks,A,6.5,4,5.2,4.7
ADIDAS AG,DE,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",AAA,8.7,7.7,5.3,6.2
ADIENT GLOBAL HOLDINGS LTD,JE,Auto Components,Auto Parts & Equipment,B,2.7,2.5,2.8,5.5
ADIENT PUBLIC LIMITED COMPANY,IE,Auto Components,Auto Parts & Equipment,B,2.7,2.5,2.8,5.5
ADIENT US LLC,US,Auto Components,Auto Parts & Equipment,B,2.7,2.5,2.8,5.5
ADITYA BIRLA ARC LIMITED,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADITYA BIRLA FINANCE LIMITED,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADITYA BIRLA HOUSING FINANCE LIMITED,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,IN,Diversified Financials,Other Diversified Financial Services,BB,3.9,3.9,3.7,2.8
ADLER Group SA,LU,Real Estate Management & Services,Real Estate Operating Companies,BBB,5.3,3.8,5.8,5.3
ADLER Real Estate Aktiengesellschaft,DE,Real Estate Management & Services,Real Estate Operating Companies,BBB,4.7,4.9,6.2,3.7
ADM AG Holding Limited,VG,Food Products,Agricultural Products,AA,8.4,6.3,4.8,4.7
ADMIRAL GROUP PLC,GB,Property & Casualty Insurance,Property & Casualty Insurance,A,7,4.1,3.8,7.7
ADOBE INC,US,Software & Services,Application Software,AAA,10,5.4,7.1,6.5
"ADT CAPS Co,Ltd",KR,Telecommunication Services,Wireless Telecommunication Services,A,6.1,10,7.6,3
ADT INC,US,Commercial Services & Supplies,Security & Alarm Services,A,6.3,8.3,6.3,4.8
ADTALEM GLOBAL EDUCATION INC,US,Diversified Consumer Services,Education Services,BB,4.1,7.1,3.4,6
"ADTRAN, INC",US,"Technology Hardware, Storage & Peripherals",Communications Equipment,A,5.8,2,5,5.2
ADVA Optical Networking SE,DE,"Technology Hardware, Storage & Peripherals",Communications Equipment,A,7,2.6,5.1,6
"ADVAN GROUP CO, LTD",JP,Trading Companies & Distributors,Trading Companies & Distributors,BB,3.7,2.1,6.3,3.6
"ADVANCE AUTO PARTS, INC",US,Retail - Consumer Discretionary,Automotive Retail,BBB,5.4,3.6,4.5,5.8
"ADVANCED DRAINAGE SYSTEMS, INC",US,Building Products,Building Products,AA,7.7,5.2,7.1,6.1
"ADVANCED ENERGY INDUSTRIES, INC",US,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,BBB,5.5,3.5,4,5.9
"ADVANCED INSTRUMENTS, LLC",US,Diversified Financials,Multi-Sector Holdings,A,7,8.6,5.9,4.3
ADVANCED MEDICAL SOLUTIONS GROUP PLC,GB,Health Care Equipment & Supplies,Health Care Supplies,AA,8.4,8.5,6.7,6.9
"ADVANCED MICRO DEVICES, INC",US,Semiconductors & Semiconductor Equipment,Semiconductors,A,6.4,4.3,6,5.9
"ADVANCEPIERRE FOODS HOLDINGS, INC",US,Food Products,Packaged Foods & Meats,BBB,5.7,4.1,4.3,5.1
"ADVANCEPIERRE FOODS, INC",US,Food Products,Packaged Foods & Meats,BBB,5.7,4.1,4.3,5.1
ADVANSIX INC,US,Commodity Chemicals,Commodity Chemicals,BBB,4.6,2.8,3.2,6.2
ADVANTAGE ENERGY LTD,CA,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,BBB,4.8,1.9,4,6.9
ADVANTAGE SALES & MARKETING INC,US,Professional Services,Advertising,BB,3.5,6.7,2.9,4.7
ADVANTAGE SOLUTIONS INC,US,Media & Entertainment,Advertising,BB,3.5,6.7,2.9,4.7
"ADVANTECH Co, Ltd",TW,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",BB,3.9,3.9,4.2,3.9
ADVANTEST CORPORATION,JP,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,BBB,5.2,4.7,7.6,5.6
ADVANZ PHARMA CORP,CA,Pharmaceuticals,Pharmaceuticals,BBB,5.6,2.9,3.5,1.4
"ADVENT SOFTWARE, INC",US,Software & Services,Application Software,BB,4,3.9,3.5,4.5
ADVENTURE MARKETING PRIVATE LIMITED,IN,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BBB,4.9,5.1,5.2,4.3
ADYAH SOLAR ENERGY PRIVATE LIMITED,IN,Utilities,Renewable Electricity,A,7,9.5,3.3,5.2
"AECC AERO-ENGINE CONTROL CO,LTD",CN,Aerospace & Defense,Aerospace & Defense,CCC,0.5,0.7,3.6,1.5
"AECC AVIATION POWER CO,LTD",CN,Aerospace & Defense,Aerospace & Defense,CCC,0,3.3,1.8,1.1
AECOM,US,Construction & Engineering,Construction & Engineering,AA,7.5,7.4,4.6,5.4
AEDAS HOMES OPCO SL,ES,Real Estate Development & Diversified Activities,Real Estate Development,BBB,5.1,3.9,3.3,6.8
"AEDAS HOMES, SA",ES,Real Estate Development & Diversified Activities,Real Estate Development,BBB,5.1,3.9,3.3,6.8
AEDIFICA NV,BE,Real Estate Management & Services,Health Care REITs,A,6.3,7.4,1.9,6.9
AEGIS LOGISTICS LIMITED,IN,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Storage & Transportation,A,6.7,5.6,5,6.1
AEGON Bank NV,NL,Life & Health Insurance,Life & Health Insurance,AA,8.4,8.4,4.8,7.7
AEGON FUNDING COMPANY LLC,US,Life & Health Insurance,Life & Health Insurance,AA,8.4,8.4,4.8,7.7
AEGON NV,NL,Life & Health Insurance,Life & Health Insurance,AA,8.4,8.4,4.8,7.7
AEM HOLDINGS LTD,SG,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,BB,3.9,2.6,4.7,4.9
"AEON CO,LTD",JP,Retail - Food & Staples,Hypermarkets & Super Centers,AA,7.6,6.3,6.4,3.2
AEON CREDIT SERVICE (M) BERHAD,MY,Consumer Finance,Consumer Finance,A,7,8,5.1,4.2
AEON CREDIT SERVICE (PHILIPPINES) INC,PH,Consumer Finance,Consumer Finance,BBB,5,10,4.7,2.8
"AEON DELIGHT CO, LTD",JP,Commercial Services & Supplies,Environmental & Facilities Services,BB,3.3,5.6,6,3.2
"AEON Financial Service Co, Ltd",JP,Consumer Finance,Consumer Finance,BBB,5,10,4.7,2.8
"AEON Mall Co, Ltd",JP,Real Estate Management & Services,Real Estate Operating Companies,BB,3.9,5.3,6.7,3.4
"AEON Product Finance Co, Ltd",JP,Consumer Finance,Consumer Finance,BBB,5,10,4.7,2.8
AEON REIT Investment Corporation,JP,Real Estate Management & Services,Retail REITs,BB,2.9,6,2.4,5.1
AEP TEXAS INC,US,Utilities,Electric Utilities,AA,7.5,7.2,6.6,6.1
"AEP TRANSMISSION COMPANY, LLC",US,Utilities,Electric Utilities,A,7.1,7,7.1,6.2
AERCAP GLOBAL AVIATION TRUST,IE,Trading Companies & Distributors,Trading Companies & Distributors,A,7.1,6.1,5,6
"AERIE PHARMACEUTICALS, INC",US,Pharmaceuticals,Pharmaceuticals,BBB,4.9,2.9,4.2,5.1
